"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Houma-Thibodaux, LA","26380",2022,108,99,9,0,0,0,0,64,48,37,0,0,88,20,0
"Houston-The Woodlands-Sugar Land, TX","26420",2022,91,47,44,0,0,0,0,93,74,50,1,4,24,56,6
"Huntington-Ashland, WV-KY-OH","26580",2022,86,71,15,0,0,0,0,67,54,40,0,0,25,61,0
"Idaho Falls, ID","26820",2022,90,90,0,0,0,0,0,47,45,42,0,0,90,0,0
"Indianapolis-Carmel-Anderson, IN","26900",2022,34,18,16,0,0,0,0,78,63,46,0,0,0,33,1
"Iowa City, IA","26980",2022,120,101,19,0,0,0,0,71,55,33,0,0,0,120,0
"Ithaca, NY","27060",2022,58,58,0,0,0,0,0,45,42,36,0,0,58,0,0
"Jackson, MS","27140",2022,91,59,31,1,0,0,0,101,67,44,1,0,27,63,0
"Jackson, WY-ID","27220",2022,91,91,0,0,0,0,0,48,45,43,1,0,88,2,0
"Jacksonville, FL","27260",2022,90,76,14,0,0,0,0,87,54,39,0,0,61,29,0
"Jamestown-Dunkirk-Fredonia, NY","27460",2022,118,114,4,0,0,0,0,84,44,37,0,0,114,4,0
"Jasper, IN","27540",2022,28,25,3,0,0,0,0,86,53,34,0,0,0,28,0
"Jefferson City, MO","27620",2022,31,29,2,0,0,0,0,71,48,39,0,0,31,0,0
"Joplin, MO","27900",2022,90,72,17,1,0,0,0,108,75,34,0,0,31,0,59
"Kalispell, MT","28060",2022,90,77,13,0,0,0,0,68,53,37,0,0,69,20,1
"Kansas City, MO-KS","28140",2022,91,63,28,0,0,0,0,93,64,43,1,8,15,56,11
"Kennewick-Richland, WA","28420",2022,31,27,4,0,0,0,0,59,52,33,0,0,0,31,0
"Killeen-Temple, TX","28660",2022,31,29,2,0,0,0,0,63,46,36,0,0,24,7,0
"Kingsport-Bristol-Bristol, TN-VA","28700",2022,29,29,0,0,0,0,0,48,45,26,0,0,0,29,0
"Kingsville, TX","28780",2022,58,47,11,0,0,0,0,89,56,28,0,0,0,58,0
"Knoxville, TN","28940",2022,120,82,38,0,0,0,0,97,59,44,0,0,65,55,0
"La Crosse-Onalaska, WI-MN","29100",2022,31,27,4,0,0,0,0,67,51,35,0,0,0,31,0
"La Grande, OR","29260",2022,90,90,0,0,0,0,0,42,32,19,0,0,0,90,0
"Lafayette, LA","29180",2022,120,86,33,1,0,0,0,101,64,44,0,0,92,28,0
"Lake Charles, LA","29340",2022,120,74,46,0,0,0,0,90,67,45,0,0,57,63,0
"Lake City, FL","29380",2022,90,68,22,0,0,0,0,90,64,41,0,0,51,39,0
"Lake Havasu City-Kingman, AZ","29420",2022,90,83,7,0,0,0,0,64,39,12,0,0,0,0,90
"Lakeland-Winter Haven, FL","29460",2022,90,78,12,0,0,0,0,87,56,40,0,0,54,36,0
"Laramie, WY","29660",2022,90,89,1,0,0,0,0,54,48,43,0,0,51,39,0
"Laredo, TX","29700",2022,59,54,5,0,0,0,0,59,48,33,0,0,0,59,0
"Las Cruces, NM","29740",2022,90,66,19,3,0,1,1,312,66,38,0,0,0,17,73
"Las Vegas-Henderson-Paradise, NV","29820",2022,60,17,41,2,0,0,0,136,86,60,1,2,8,39,10
"Lawton, OK","30020",2022,90,81,9,0,0,0,0,99,55,29,0,0,28,62,0
"Lewiston, ID-WA","30300",2022,87,80,7,0,0,0,0,77,46,17,0,0,0,87,0
"Lewiston-Auburn, ME","30340",2022,117,112,5,0,0,0,0,63,45,36,0,0,61,56,0
"Lexington-Fayette, KY","30460",2022,10,10,0,0,0,0,0,16,16,13,0,0,0,0,10
"Lima, OH","30620",2022,90,74,16,0,0,0,0,93,57,36,0,0,28,62,0
"Lincoln, NE","30700",2022,25,24,1,0,0,0,0,59,30,20,0,0,0,25,0
"Little Rock-North Little Rock-Conway, AR","30780",2022,91,79,11,1,0,0,0,115,55,38,1,0,62,28,0
"Logan, UT-ID","30860",2022,120,88,30,2,0,0,0,111,72,42,0,0,77,43,0
"Longview, TX","30980",2022,31,31,0,0,0,0,0,48,42,33,0,0,31,0,0
"Longview, WA","31020",2022,31,30,1,0,0,0,0,54,35,23,0,0,0,31,0
"Louisville/Jefferson County, KY-IN","31140",2022,33,24,9,0,0,0,0,82,56,37,0,0,0,31,2
"Lubbock, TX","31180",2022,25,25,0,0,0,0,0,48,16,6,0,0,0,25,0
"Lynchburg, VA","31340",2022,30,30,0,0,0,0,0,43,40,20,0,0,0,30,0
"Macon, GA","31420",2022,90,70,20,0,0,0,0,89,61,39,0,0,19,71,0
"Madison, WI","31540",2022,31,27,4,0,0,0,0,79,56,38,0,0,0,31,0
"Marietta, OH","31930",2022,31,29,2,0,0,0,0,80,48,41,0,0,31,0,0
"Marshall, TX","32220",2022,23,17,4,1,1,0,0,173,95,41,0,0,13,10,0
"Mason City, IA","32380",2022,36,36,0,0,0,0,0,42,23,12,0,0,0,0,36
"Mayaguez, PR","32420",2022,90,90,0,0,0,0,0,49,38,29,0,0,50,40,0
"McAlester, OK","32540",2022,73,56,14,3,0,0,0,139,61,37,0,0,19,54,0
"McAllen-Edinburg-Mission, TX","32580",2022,59,49,10,0,0,0,0,73,60,40,0,0,23,36,0
"Medford, OR","32780",2022,90,89,1,0,0,0,0,60,32,20,0,0,0,90,0
"Memphis, TN-MS-AR","32820",2022,90,78,11,1,0,0,0,101,55,39,0,0,49,41,0
"Merced, CA","32900",2022,85,37,46,2,0,0,0,115,85,54,0,0,0,78,7
"Meridian, MS","32940",2022,30,27,3,0,0,0,0,71,58,45,0,0,30,0,0
"Michigan City-La Porte, IN","33140",2022,27,22,5,0,0,0,0,60,56,33,0,0,0,27,0
"Milwaukee-Waukesha-West Allis, WI","33340",2022,32,18,14,0,0,0,0,91,66,48,1,0,5,19,7
"Minot, ND","33500",2022,90,89,1,0,0,0,0,55,40,35,0,0,84,6,0
"Missoula, MT","33540",2022,31,2,25,4,0,0,0,140,101,74,0,0,1,30,0
"Mobile, AL","33660",2022,58,50,8,0,0,0,0,70,53,30,0,0,0,58,0
"Modesto, CA","33700",2022,37,4,29,4,0,0,0,111,103,81,1,0,0,36,0
"Monroe, LA","33740",2022,114,109,5,0,0,0,0,97,47,40,0,0,114,0,0
"Montgomery, AL","33860",2022,59,48,11,0,0,0,0,95,58,33,0,0,0,59,0
"Morehead City, NC","33980",2022,56,55,1,0,0,0,0,54,41,35,0,0,56,0,0
"Morgantown, WV","34060",2022,31,30,1,0,0,0,0,77,47,39,0,0,31,0,0
"Moses Lake, WA","34180",2022,31,27,4,0,0,0,0,63,51,29,0,0,0,31,0
"Mount Vernon, IL","34500",2022,90,80,10,0,0,0,0,79,52,37,0,0,21,69,0
"Mount Vernon, OH","34540",2022,31,29,2,0,0,0,0,61,48,38,0,0,31,0,0
"Mount Vernon-Anacortes, WA","34580",2022,31,30,1,0,0,0,0,51,44,23,0,0,0,31,0
"Muncie, IN","34620",2022,25,20,5,0,0,0,0,68,56,33,0,0,0,25,0
"Muscatine, IA","34700",2022,120,102,18,0,0,0,0,64,53,30,0,0,0,119,1
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2022,41,40,1,0,0,0,0,54,48,43,0,0,41,0,0
"Naples-Immokalee-Marco Island, FL","34940",2022,90,84,6,0,0,0,0,54,49,38,0,0,63,27,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2022,91,67,24,0,0,0,0,77,58,43,1,1,22,67,0
"New Castle, IN","35220",2022,24,21,3,0,0,0,0,69,53,30,0,0,0,24,0
"New Orleans-Metairie, LA","35380",2022,121,79,42,0,0,0,0,97,64,47,1,0,52,68,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2022,121,70,51,0,0,0,0,87,68,48,1,11,49,60,0
"Nogales, AZ","35700",2022,90,52,38,0,0,0,0,93,75,47,0,0,0,73,17
"Ocala, FL","36100",2022,90,78,12,0,0,0,0,93,54,41,0,0,56,34,0
"Odessa, TX","36220",2022,31,30,1,0,0,0,0,55,36,26,0,0,0,31,0
"Ogden-Clearfield, UT","36260",2022,121,85,36,0,0,0,0,97,66,44,1,6,72,42,0
"Oklahoma City, OK","36420",2022,91,66,23,2,0,0,0,108,65,44,1,15,25,48,2
"Olympia-Tumwater, WA","36500",2022,31,30,1,0,0,0,0,55,43,20,0,0,0,31,0
"Omaha-Council Bluffs, NE-IA","36540",2022,151,133,18,0,0,0,0,70,51,36,0,0,78,27,46
